Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Date,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Daily_Transaction_Count,Card_Type,Card_Age,Fraud_Label,Year,Month,Day,Day_of_Week,Amount_Bin,Balance_to_Amount_Ratio,User_Transaction_Count,User_Avg_Transaction_Amount,User_Total_Transaction_Amount,User_Amount_Deviation
TXN_33553,USER_1834,39.79,POS,2023-08-14,93213.17,Laptop,Sydney,Travel,0,7,Amex,65,0,2023,8,14,0,low,2342.628047248052,7,106.76714285714286,747.37,-66.97714285714287
TXN_9427,USER_7875,1.19,Bank Transfer,2023-06-07,75725.25,Mobile,New York,Clothing,0,13,Mastercard,186,1,2023,6,7,2,micro,63634.66386554622,5,11.687999999999999,58.44,-10.498
TXN_199,USER_2734,28.96,Online,2023-06-20,1588.96,Tablet,Mumbai,Restaurants,0,14,Visa,226,1,2023,6,20,1,low,54.86740331491713,4,55.7825,223.13,-26.822499999999998
TXN_12447,USER_2617,254.32,ATM Withdrawal,2023-12-07,76807.2,Tablet,New York,Clothing,0,8,Visa,76,1,2023,12,7,3,very_high,302.010066058509,9,161.85222222222222,1456.67,92.46777777777777
TXN_39489,USER_2014,31.28,POS,2023-11-11,92354.66,Mobile,Mumbai,Electronics,1,14,Mastercard,140,1,2023,11,11,5,low,2952.514705882353,9,71.24,641.16,-39.959999999999994
TXN_42724,USER_6852,168.55,Online,2023-06-05,33236.94,Laptop,Tokyo,Restaurants,0,3,Discover,51,0,2023,6,5,0,high,197.19335508751112,7,226.22285714285712,1583.56,-57.67285714285711
TXN_10822,USER_5052,3.79,POS,2023-11-07,86834.18,Tablet,London,Restaurants,0,2,Mastercard,168,0,2023,11,7,1,micro,22911.393139841686,6,88.81166666666667,532.87,-85.02166666666666
TXN_49498,USER_4660,7.08,ATM Withdrawal,2023-02-25,45826.27,Tablet,London,Restaurants,0,3,Discover,182,1,2023,2,25,5,micro,6472.637005649717,3,104.16666666666667,312.5,-97.08666666666667
TXN_4144,USER_1584,34.25,ATM Withdrawal,2023-03-09,94392.35,Tablet,Tokyo,Clothing,0,7,Visa,24,0,2023,3,9,3,low,2755.9810218978105,5,60.468,302.34000000000003,-26.218000000000004
TXN_36958,USER_9498,16.24,POS,2023-09-20,91859.97,Mobile,Mumbai,Travel,0,6,Mastercard,124,0,2023,9,20,2,low,5656.40209359606,8,104.2125,833.7,-87.97250000000001
TXN_43106,USER_2848,367.5,POS,2023-04-11,14640.09,Laptop,Mumbai,Electronics,0,4,Amex,136,0,2023,4,11,1,very_high,39.83697959183674,7,160.68285714285713,1124.78,206.81714285714287
TXN_38695,USER_6860,50.44,ATM Withdrawal,2023-08-06,19962.22,Laptop,London,Travel,0,14,Discover,131,0,2023,8,6,6,medium,395.76169706582084,5,31.159999999999997,155.79999999999998,19.28
TXN_6188,USER_6728,55.5,ATM Withdrawal,2023-07-20,89664.63,Laptop,London,Groceries,0,6,Discover,192,1,2023,7,20,3,medium,1615.578918918919,4,133.3725,533.49,-77.8725
TXN_1414,USER_6655,54.09,Bank Transfer,2023-11-17,51287.15,Mobile,Sydney,Electronics,0,11,Amex,91,0,2023,11,17,4,medium,948.1817341467923,3,60.526666666666664,181.57999999999998,-6.43666666666666
TXN_18471,USER_7651,9.66,Online,2023-06-20,12420.17,Tablet,New York,Electronics,0,6,Mastercard,5,0,2023,6,20,1,micro,1285.731884057971,6,102.04166666666667,612.25,-92.38166666666667
TXN_29282,USER_1248,64.78,POS,2023-07-03,23487.76,Laptop,Mumbai,Restaurants,0,1,Amex,3,0,2023,7,3,0,medium,362.57733868477925,6,71.565,429.39,-6.784999999999997
